Algorithm	File	Fitness	Time(s)
MemeticAlgorithm (SOME_RANDOM)	GKD-b_18_n50_m15	58.5714	0.296266
MemeticAlgorithm (SOME_RANDOM)	GKD-b_19_n50_m15	59.4991	0.292782
MemeticAlgorithm (SOME_RANDOM)	GKD-b_20_n50_m15	73.6439	0.290429
MemeticAlgorithm (SOME_RANDOM)	GKD-b_21_n100_m10	24.8027	0.339312
MemeticAlgorithm (SOME_RANDOM)	GKD-b_22_n100_m10	28.3041	0.341747
MemeticAlgorithm (SOME_RANDOM)	GKD-b_23_n100_m10	31.7945	0.349202
MemeticAlgorithm (SOME_RANDOM)	GKD-b_24_n100_m10	27.0459	0.350533
MemeticAlgorithm (SOME_RANDOM)	GKD-b_25_n100_m10	32.3848	0.347765
MemeticAlgorithm (SOME_RANDOM)	GKD-b_26_n100_m30	248.968	0.580351
MemeticAlgorithm (SOME_RANDOM)	GKD-b_27_n100_m30	223.017	0.57693
MemeticAlgorithm (SOME_RANDOM)	GKD-b_28_n100_m30	223.139	0.575096
MemeticAlgorithm (SOME_RANDOM)	GKD-b_29_n100_m30	240.059	0.5761
MemeticAlgorithm (SOME_RANDOM)	GKD-b_30_n100_m30	223.066	0.575763
MemeticAlgorithm (SOME_RANDOM)	GKD-b_31_n125_m12	28.3325	0.415853
MemeticAlgorithm (SOME_RANDOM)	GKD-b_32_n125_m12	35.7244	0.41902
MemeticAlgorithm (SOME_RANDOM)	GKD-b_33_n125_m12	36.2138	0.419214
MemeticAlgorithm (SOME_RANDOM)	GKD-b_34_n125_m12	37.7258	0.416127
MemeticAlgorithm (SOME_RANDOM)	GKD-b_35_n125_m12	33.5458	0.411247
MemeticAlgorithm (SOME_RANDOM)	GKD-b_36_n125_m37	295.392	0.759973
MemeticAlgorithm (SOME_RANDOM)	GKD-b_37_n125_m37	345.952	0.759723
MemeticAlgorithm (SOME_RANDOM)	GKD-b_38_n125_m37	349.307	0.757858
MemeticAlgorithm (SOME_RANDOM)	GKD-b_39_n125_m37	288.27	0.738202
MemeticAlgorithm (SOME_RANDOM)	GKD-b_40_n125_m37	317.438	0.756683
MemeticAlgorithm (SOME_RANDOM)	GKD-b_41_n150_m15	48.7067	0.509061
MemeticAlgorithm (SOME_RANDOM)	GKD-b_42_n150_m15	48.0384	0.496774
MemeticAlgorithm (SOME_RANDOM)	GKD-b_43_n150_m15	51.0206	0.508385
MemeticAlgorithm (SOME_RANDOM)	GKD-b_44_n150_m15	49.6454	0.500141
MemeticAlgorithm (SOME_RANDOM)	GKD-b_45_n150_m15	46.8751	0.496131
MemeticAlgorithm (SOME_RANDOM)	GKD-b_46_n150_m45	417.759	1.01575
MemeticAlgorithm (SOME_RANDOM)	GKD-b_47_n150_m45	404.324	1.0067
MemeticAlgorithm (SOME_RANDOM)	GKD-b_48_n150_m45	328.411	0.99371
MemeticAlgorithm (SOME_RANDOM)	GKD-b_49_n150_m45	465.706	1.01994
MemeticAlgorithm (SOME_RANDOM)	GKD-b_50_n150_m45	405.939	0.999756
MemeticAlgorithm (SOME_BEST)	GKD-b_1_n25_m2	0	0.157045
MemeticAlgorithm (SOME_BEST)	GKD-b_2_n25_m2	0	0.156167
MemeticAlgorithm (SOME_BEST)	GKD-b_3_n25_m2	0	0.156076
MemeticAlgorithm (SOME_BEST)	GKD-b_4_n25_m2	0	0.156114
MemeticAlgorithm (SOME_BEST)	GKD-b_5_n25_m2	0	0.155711
MemeticAlgorithm (SOME_BEST)	GKD-b_6_n25_m7	13.897	0.104781
MemeticAlgorithm (SOME_BEST)	GKD-b_7_n25_m7	15.4204	0.104164
MemeticAlgorithm (SOME_BEST)	GKD-b_8_n25_m7	17.7741	0.10512
MemeticAlgorithm (SOME_BEST)	GKD-b_9_n25_m7	18.238	0.10548
MemeticAlgorithm (SOME_BEST)	GKD-b_10_n25_m7	23.8596	0.104172
MemeticAlgorithm (SOME_BEST)	GKD-b_11_n50_m5	4.35497	0.087455
MemeticAlgorithm (SOME_BEST)	GKD-b_12_n50_m5	4.80508	0.0882861
MemeticAlgorithm (SOME_BEST)	GKD-b_13_n50_m5	6.10827	0.0864189
MemeticAlgorithm (SOME_BEST)	GKD-b_14_n50_m5	5.37711	0.0895672
MemeticAlgorithm (SOME_BEST)	GKD-b_15_n50_m5	5.12202	0.0901758
MemeticAlgorithm (SOME_BEST)	GKD-b_16_n50_m15	62.8103	0.1415
MemeticAlgorithm (SOME_BEST)	GKD-b_17_n50_m15	58.6926	0.141596
MemeticAlgorithm (SOME_BEST)	GKD-b_18_n50_m15	61.7759	0.134648
MemeticAlgorithm (SOME_BEST)	GKD-b_19_n50_m15	62.2867	0.137748
MemeticAlgorithm (SOME_BEST)	GKD-b_20_n50_m15	64.1338	0.136126
MemeticAlgorithm (SOME_BEST)	GKD-b_21_n100_m10	21.2711	0.148159
MemeticAlgorithm (SOME_BEST)	GKD-b_22_n100_m10	26.3402	0.152534
MemeticAlgorithm (SOME_BEST)	GKD-b_23_n100_m10	25.5713	0.145917
MemeticAlgorithm (SOME_BEST)	GKD-b_24_n100_m10	26.5153	0.144191
MemeticAlgorithm (SOME_BEST)	GKD-b_25_n100_m10	25.9321	0.145962
MemeticAlgorithm (SOME_BEST)	GKD-b_26_n100_m30	231.605	0.424279
MemeticAlgorithm (SOME_BEST)	GKD-b_27_n100_m30	188.448	0.430419
MemeticAlgorithm (SOME_BEST)	GKD-b_28_n100_m30	200.431	0.465127
MemeticAlgorithm (SOME_BEST)	GKD-b_29_n100_m30	202.321	0.41862
MemeticAlgorithm (SOME_BEST)	GKD-b_30_n100_m30	194.492	0.401916
MemeticAlgorithm (SOME_BEST)	GKD-b_31_n125_m12	26.8329	0.232771
MemeticAlgorithm (SOME_BEST)	GKD-b_32_n125_m12	33.8383	0.198383
MemeticAlgorithm (SOME_BEST)	GKD-b_33_n125_m12	30.7785	0.194394
MemeticAlgorithm (SOME_BEST)	GKD-b_34_n125_m12	37.2213	0.203193
MemeticAlgorithm (SOME_BEST)	GKD-b_35_n125_m12	30.7514	0.205292
MemeticAlgorithm (SOME_BEST)	GKD-b_36_n125_m37	257.649	0.651537
MemeticAlgorithm (SOME_BEST)	GKD-b_37_n125_m37	321.126	0.699491
MemeticAlgorithm (SOME_BEST)	GKD-b_38_n125_m37	334.447	0.68477
MemeticAlgorithm (SOME_BEST)	GKD-b_39_n125_m37	286.166	0.655976
MemeticAlgorithm (SOME_BEST)	GKD-b_40_n125_m37	355.589	0.636503
MemeticAlgorithm (SOME_BEST)	GKD-b_41_n150_m15	43.6465	0.276387
MemeticAlgorithm (SOME_BEST)	GKD-b_42_n150_m15	49.4505	0.268942
MemeticAlgorithm (SOME_BEST)	GKD-b_43_n150_m15	45.406	0.275533
MemeticAlgorithm (SOME_BEST)	GKD-b_44_n150_m15	48.9116	0.267802
MemeticAlgorithm (SOME_BEST)	GKD-b_45_n150_m15	46.1147	0.248513
MemeticAlgorithm (SOME_BEST)	GKD-b_46_n150_m45	436.763	0.9844
MemeticAlgorithm (SOME_BEST)	GKD-b_47_n150_m45	356.602	1.06423
MemeticAlgorithm (SOME_BEST)	GKD-b_48_n150_m45	367.199	0.946798
MemeticAlgorithm (SOME_BEST)	GKD-b_49_n150_m45	420.928	1.05404
MemeticAlgorithm (SOME_BEST)	GKD-b_50_n150_m45	389.793	1.00291
