Algorithm	File	Fitness	Time(s)
RandomSearch	GKD-b_1_n25_m2	0	0.290359
RandomSearch	GKD-b_2_n25_m2	0	0.292271
RandomSearch	GKD-b_3_n25_m2	0	0.301378
RandomSearch	GKD-b_4_n25_m2	0	0.289416
RandomSearch	GKD-b_5_n25_m2	0	0.289468
RandomSearch	GKD-b_6_n25_m7	14.4106	0.337424
RandomSearch	GKD-b_7_n25_m7	19.908	0.294867
RandomSearch	GKD-b_8_n25_m7	19.8403	0.293553
RandomSearch	GKD-b_9_n25_m7	21.0183	0.295865
RandomSearch	GKD-b_10_n25_m7	29.3681	0.29173
RandomSearch	GKD-b_11_n50_m5	4.65407	0.3746
RandomSearch	GKD-b_12_n50_m5	4.6923	0.382694
RandomSearch	GKD-b_13_n50_m5	6.01035	0.37339
RandomSearch	GKD-b_14_n50_m5	6.01924	0.381096
RandomSearch	GKD-b_15_n50_m5	5.18355	0.379608
RandomSearch	GKD-b_16_n50_m15	137.68	0.589832
RandomSearch	GKD-b_17_n50_m15	140.993	0.582159
RandomSearch	GKD-b_18_n50_m15	126.682	0.582527
RandomSearch	GKD-b_19_n50_m15	159.034	0.576376
RandomSearch	GKD-b_20_n50_m15	141.617	0.586593
RandomSearch	GKD-b_21_n100_m10	66.6405	0.690896
RandomSearch	GKD-b_22_n100_m10	63.3437	0.688089
RandomSearch	GKD-b_23_n100_m10	47.9347	0.691969
RandomSearch	GKD-b_24_n100_m10	50.3438	0.683154
RandomSearch	GKD-b_25_n100_m10	58.2331	0.685238
RandomSearch	GKD-b_26_n100_m30	551.156	1.28979
RandomSearch	GKD-b_27_n100_m30	541.84	1.30347
RandomSearch	GKD-b_28_n100_m30	536.775	1.29681
RandomSearch	GKD-b_29_n100_m30	533.062	1.30436
RandomSearch	GKD-b_30_n100_m30	533.039	1.28442
RandomSearch	GKD-b_31_n125_m12	102.689	0.837546
RandomSearch	GKD-b_32_n125_m12	82.639	0.836538
RandomSearch	GKD-b_33_n125_m12	83.152	0.835256
RandomSearch	GKD-b_34_n125_m12	91.8833	0.830367
RandomSearch	GKD-b_35_n125_m12	86.78	0.859956
RandomSearch	GKD-b_36_n125_m37	677.474	1.74891
RandomSearch	GKD-b_37_n125_m37	831.214	1.75758
RandomSearch	GKD-b_38_n125_m37	757.677	1.70962
RandomSearch	GKD-b_39_n125_m37	702.519	1.73537
RandomSearch	GKD-b_40_n125_m37	717.968	1.72923
RandomSearch	GKD-b_41_n150_m15	154.077	1.01256
RandomSearch	GKD-b_42_n150_m15	150.065	1.02314
RandomSearch	GKD-b_43_n150_m15	154.342	1.01447
RandomSearch	GKD-b_44_n150_m15	134.581	1.00973
RandomSearch	GKD-b_45_n150_m15	130.208	1.00958
RandomSearch	GKD-b_46_n150_m45	993.348	2.27793
RandomSearch	GKD-b_47_n150_m45	946.535	2.26489
RandomSearch	GKD-b_48_n150_m45	871.439	2.29716
RandomSearch	GKD-b_49_n150_m45	972.477	2.25622
RandomSearch	GKD-b_50_n150_m45	951.168	2.25725
Greedy	GKD-b_1_n25_m2	0	2.6065e-05
Greedy	GKD-b_2_n25_m2	0	2.54926e-05
Greedy	GKD-b_3_n25_m2	0	2.4012e-05
Greedy	GKD-b_4_n25_m2	0	2.43332e-05
Greedy	GKD-b_5_n25_m2	0	2.37602e-05
Greedy	GKD-b_6_n25_m7	70.2871	0.000145229
Greedy	GKD-b_7_n25_m7	46.2892	0.000146892
Greedy	GKD-b_8_n25_m7	45.2235	0.00015449
Greedy	GKD-b_9_n25_m7	51.05	0.000146612
Greedy	GKD-b_10_n25_m7	75.2284	0.000153415
Greedy	GKD-b_11_n50_m5	25.2057	0.000193308
Greedy	GKD-b_12_n50_m5	32.1528	0.000197415
Greedy	GKD-b_13_n50_m5	32.1196	0.000192121
Greedy	GKD-b_14_n50_m5	30.6587	0.000193755
Greedy	GKD-b_15_n50_m5	27.2085	0.000196004
Greedy	GKD-b_16_n50_m15	200.664	0.00100473
Greedy	GKD-b_17_n50_m15	174.747	0.000999073
Greedy	GKD-b_18_n50_m15	173.041	0.00102772
Greedy	GKD-b_19_n50_m15	179.772	0.00101896
Greedy	GKD-b_20_n50_m15	151.862	0.00100557
Greedy	GKD-b_21_n100_m10	80.8015	0.00116999
Greedy	GKD-b_22_n100_m10	72	0.00110499
Greedy	GKD-b_23_n100_m10	80.0659	0.00108733
Greedy	GKD-b_24_n100_m10	53.9805	0.00110064
Greedy	GKD-b_25_n100_m10	71.6454	0.00120671
Greedy	GKD-b_26_n100_m30	425.222	0.00905008
Greedy	GKD-b_27_n100_m30	433.737	0.00792816
Greedy	GKD-b_28_n100_m30	461.995	0.0080938
Greedy	GKD-b_29_n100_m30	365.775	0.00817241
Greedy	GKD-b_30_n100_m30	343.466	0.00794031
Greedy	GKD-b_31_n125_m12	61.361	0.00186778
Greedy	GKD-b_32_n125_m12	78.4384	0.00219472
Greedy	GKD-b_33_n125_m12	88.5954	0.00251552
Greedy	GKD-b_34_n125_m12	79.5444	0.00223666
Greedy	GKD-b_35_n125_m12	85.7423	0.00203893
Greedy	GKD-b_36_n125_m37	570.694	0.0162843
Greedy	GKD-b_37_n125_m37	504.446	0.0164386
Greedy	GKD-b_38_n125_m37	619.296	0.0162837
Greedy	GKD-b_39_n125_m37	525.938	0.0170581
Greedy	GKD-b_40_n125_m37	394.107	0.0165025
Greedy	GKD-b_41_n150_m15	104.976	0.00340501
Greedy	GKD-b_42_n150_m15	122.394	0.00341141
Greedy	GKD-b_43_n150_m15	117.269	0.00340466
Greedy	GKD-b_44_n150_m15	117.791	0.00335771
Greedy	GKD-b_45_n150_m15	106.885	0.00341469
Greedy	GKD-b_46_n150_m45	568.589	0.0324786
Greedy	GKD-b_47_n150_m45	551.435	0.032416
Greedy	GKD-b_48_n150_m45	659.081	0.0320745
Greedy	GKD-b_49_n150_m45	536.653	0.0321862
Greedy	GKD-b_50_n150_m45	496.676	0.0342273
LocalSearchRandom	GKD-b_1_n25_m2	0	3.02696e-05
LocalSearchRandom	GKD-b_2_n25_m2	0	3.32028e-05
LocalSearchRandom	GKD-b_3_n25_m2	0	2.80904e-05
