Algorithm	File	Fitness	Time(s)
LocalSearchRandom	GKD-b_4_n25_m2	0	2.7951e-05
LocalSearchRandom	GKD-b_5_n25_m2	0	2.90818e-05
LocalSearchRandom	GKD-b_6_n25_m7	32.1713	0.000260021
LocalSearchRandom	GKD-b_7_n25_m7	29.0354	0.000197638
LocalSearchRandom	GKD-b_8_n25_m7	52.3337	0.000182552
LocalSearchRandom	GKD-b_9_n25_m7	37.6179	0.000309581
LocalSearchRandom	GKD-b_10_n25_m7	41.1712	0.000287943
LocalSearchRandom	GKD-b_11_n50_m5	17.3346	0.000347519
LocalSearchRandom	GKD-b_12_n50_m5	16.2274	0.000333941
LocalSearchRandom	GKD-b_13_n50_m5	14.5212	0.000349893
LocalSearchRandom	GKD-b_14_n50_m5	14.7586	0.000421118
LocalSearchRandom	GKD-b_15_n50_m5	17.352	0.000399383
LocalSearchRandom	GKD-b_16_n50_m15	133.513	0.00213615
LocalSearchRandom	GKD-b_17_n50_m15	119.931	0.00202199
LocalSearchRandom	GKD-b_18_n50_m15	82.0721	0.00242903
LocalSearchRandom	GKD-b_19_n50_m15	98.0023	0.00226414
LocalSearchRandom	GKD-b_20_n50_m15	83.5011	0.00169748
LocalSearchRandom	GKD-b_21_n100_m10	41.7386	0.00310993
LocalSearchRandom	GKD-b_22_n100_m10	41.9944	0.00188787
LocalSearchRandom	GKD-b_23_n100_m10	52.9109	0.00222911
LocalSearchRandom	GKD-b_24_n100_m10	40.6014	0.00228215
LocalSearchRandom	GKD-b_25_n100_m10	39.5917	0.00258177
LocalSearchRandom	GKD-b_26_n100_m30	400.921	0.0157411
LocalSearchRandom	GKD-b_27_n100_m30	309.16	0.0171966
LocalSearchRandom	GKD-b_28_n100_m30	374.355	0.0158505
LocalSearchRandom	GKD-b_29_n100_m30	288.742	0.0175993
LocalSearchRandom	GKD-b_30_n100_m30	382.004	0.01599
LocalSearchRandom	GKD-b_31_n125_m12	51.6441	0.00782573
LocalSearchRandom	GKD-b_32_n125_m12	48.968	0.00415293
LocalSearchRandom	GKD-b_33_n125_m12	43.5053	0.00445233
LocalSearchRandom	GKD-b_34_n125_m12	45.5408	0.00418942
LocalSearchRandom	GKD-b_35_n125_m12	49.1967	0.00526569
LocalSearchRandom	GKD-b_36_n125_m37	417.489	0.0334698
LocalSearchRandom	GKD-b_37_n125_m37	421.686	0.0417135
LocalSearchRandom	GKD-b_38_n125_m37	427.42	0.0408488
LocalSearchRandom	GKD-b_39_n125_m37	420.811	0.0341481
LocalSearchRandom	GKD-b_40_n125_m37	383.899	0.0415131
LocalSearchRandom	GKD-b_41_n150_m15	73.0321	0.00736335
LocalSearchRandom	GKD-b_42_n150_m15	67.1398	0.00904064
LocalSearchRandom	GKD-b_43_n150_m15	58.3925	0.00947566
LocalSearchRandom	GKD-b_44_n150_m15	77.0971	0.00851468
LocalSearchRandom	GKD-b_45_n150_m15	66.2995	0.00773668
LocalSearchRandom	GKD-b_46_n150_m45	467.304	0.0731398
LocalSearchRandom	GKD-b_47_n150_m45	440.193	0.0779335
LocalSearchRandom	GKD-b_48_n150_m45	478.829	0.0523336
LocalSearchRandom	GKD-b_49_n150_m45	443.28	0.0651474
LocalSearchRandom	GKD-b_50_n150_m45	522.932	0.0593989
LocalSearchHeuristic	GKD-b_1_n25_m2	0	3.42366e-05
LocalSearchHeuristic	GKD-b_2_n25_m2	0	3.20294e-05
LocalSearchHeuristic	GKD-b_3_n25_m2	0	3.41388e-05
LocalSearchHeuristic	GKD-b_4_n25_m2	0	3.7617e-05
LocalSearchHeuristic	GKD-b_5_n25_m2	0	3.78404e-05
LocalSearchHeuristic	GKD-b_6_n25_m7	28.7782	0.000433606
LocalSearchHeuristic	GKD-b_7_n25_m7	33.4005	0.000274157
LocalSearchHeuristic	GKD-b_8_n25_m7	33.4445	0.000297987
LocalSearchHeuristic	GKD-b_9_n25_m7	31.4396	0.000337783
LocalSearchHeuristic	GKD-b_10_n25_m7	41.7093	0.00031757
LocalSearchHeuristic	GKD-b_11_n50_m5	16.3649	0.000480693
LocalSearchHeuristic	GKD-b_12_n50_m5	10.3249	0.000494927
LocalSearchHeuristic	GKD-b_13_n50_m5	11.7661	0.000541567
LocalSearchHeuristic	GKD-b_14_n50_m5	15.9237	0.000525615
LocalSearchHeuristic	GKD-b_15_n50_m5	15.3281	0.000474296
LocalSearchHeuristic	GKD-b_16_n50_m15	89.6831	0.00380159
LocalSearchHeuristic	GKD-b_17_n50_m15	84.7674	0.00359328
LocalSearchHeuristic	GKD-b_18_n50_m15	103.894	0.00325308
LocalSearchHeuristic	GKD-b_19_n50_m15	114.638	0.00281989
LocalSearchHeuristic	GKD-b_20_n50_m15	87.3115	0.00264769
LocalSearchHeuristic	GKD-b_21_n100_m10	32.1683	0.00441224
LocalSearchHeuristic	GKD-b_22_n100_m10	33.8624	0.00489922
LocalSearchHeuristic	GKD-b_23_n100_m10	39.1924	0.00419426
LocalSearchHeuristic	GKD-b_24_n100_m10	32.9483	0.00441469
LocalSearchHeuristic	GKD-b_25_n100_m10	38.9017	0.00516284
LocalSearchHeuristic	GKD-b_26_n100_m30	253.972	0.0268718
LocalSearchHeuristic	GKD-b_27_n100_m30	228.716	0.0322985
LocalSearchHeuristic	GKD-b_28_n100_m30	231.567	0.0261672
LocalSearchHeuristic	GKD-b_29_n100_m30	210.383	0.0278144
LocalSearchHeuristic	GKD-b_30_n100_m30	223.316	0.0286752
LocalSearchHeuristic	GKD-b_31_n125_m12	37.9776	0.00905187
LocalSearchHeuristic	GKD-b_32_n125_m12	48.6829	0.00871367
LocalSearchHeuristic	GKD-b_33_n125_m12	48.015	0.00791992
LocalSearchHeuristic	GKD-b_34_n125_m12	47.0815	0.00812884
LocalSearchHeuristic	GKD-b_35_n125_m12	37.7973	0.00740697
LocalSearchHeuristic	GKD-b_36_n125_m37	271.328	0.0522143
LocalSearchHeuristic	GKD-b_37_n125_m37	270.83	0.0624769
LocalSearchHeuristic	GKD-b_38_n125_m37	354.002	0.0420562
LocalSearchHeuristic	GKD-b_39_n125_m37	305.139	0.0548001
LocalSearchHeuristic	GKD-b_40_n125_m37	292.928	0.0562783
LocalSearchHeuristic	GKD-b_41_n150_m15	59.5386	0.0136858
LocalSearchHeuristic	GKD-b_42_n150_m15	58.7462	0.0167387
LocalSearchHeuristic	GKD-b_43_n150_m15	67.1553	0.0152547
LocalSearchHeuristic	GKD-b_44_n150_m15	68.6951	0.0139965
LocalSearchHeuristic	GKD-b_45_n150_m15	57.9392	0.0134539
LocalSearchHeuristic	GKD-b_46_n150_m45	340.606	0.0945871
LocalSearchHeuristic	GKD-b_47_n150_m45	332.223	0.0885095
LocalSearchHeuristic	GKD-b_48_n150_m45	314.511	0.0802546
LocalSearchHeuristic	GKD-b_49_n150_m45	410.069	0.082767
LocalSearchHeuristic	GKD-b_50_n150_m45	322.712	0.0935109
